10.1007/s10664-021-10053-x	Developers Perception of Peer Code Review in Research Software Development
10.1016/j.infsof.2025.107830	Research Artifacts in Secondary Studies: A Systematic Mapping in Software Engineering
	How Many Papers Should You Review? A Research Synthesis of Systematic Literature Reviews in Software Engineering
10.5334/jors.ad	A Web-based modeling tool for the SEMAT Essence theory of Software Engineering
10.5281/zenodo.10420969	Seeking Enlightenment: Incorporating Evidence-Based Practice Techniques in a Research Software Engineering Team
10.1016/j.infsof.2008.03.006	Knowledge Management in Software Engineering: A Systematic Review of Studied Concepts, Findings and Research Methods Used
	Enhancing Understandability and Transparency of Research Software: Tracing Research to Code
	No Free Lunch: Research Software Testing in Teaching
10.1109/tse.2018.2877759	Cognitive Biases in Software Engineering: A Systematic Mapping Study
	Testing Research Software: An In-Depth Survey of Practices, Methods, and Tools
10.1016/j.jss.2019.110394	How does Object-Oriented Code Refactoring Influence Software Quality? Research Landscape and Challenges
	NLP-assisted software testing: A systematic mapping of the literature
	The Effects of Continuous Integration on Software Development: a Systematic Literature Review
	AIBugHunter: A Practical Tool for Predicting, Classifying and Repairing Software Vulnerabilities
	Bridging the Gap: Adapting Evidence to Decision Frameworks to support the link between Software Engineering academia and industry
	Systematic Mapping Protocol: Variability Management in Dynamic Software Product Lines for Self-Adaptive Systems
10.1109/se-hpccse.2016.008	The Scalability-Efficiency/Maintainability-Portability Trade-off in Simulation Software Engineering: Examples and a Preliminary Systematic Literature Review
	Problems in Systematic Application of Software Metrics and Possible Solution
10.1007/s10664-025-10785-0	Peer Code Review in Research Software Development: The Research Software Engineer Perspective
10.1109/ms.2021.3098116	Challenges for Inclusion in Software Engineering: The Case of the Emerging Papua New Guinean Society
